ID,ConvID,Context,Disclosure Type,Has Parent Tweet,Has Cards,Date,Language,Permalink,is part of conversation?,Author ID,Author Name,is Author verified,Text,Replies,Retweets,Favorites,Mentions,is Reply?,is Retweet?,Reply to User ID,Reply To User Name,Quoted Tweet ID, Quoted Tweet Conv. ID,Quoted Tweet Type,Quoted Tweets User ID,Quoted Tweet User
1196941193176928259,1196940361446367233,tweet,,True,False,19.11.2019 23:59:53,en,/co_rapunzel4/status/1196941193176928259,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, It&#39;s nausea inducing.,1,0,1,KnowledgeGeek,True,True,739882081,KnowledgeGeek,,,,,
1196940713902120960,1196940361446367233,tweet,,True,False,19.11.2019 23:57:58,en,/co_rapunzel4/status/1196940713902120960,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Too funny. I came in to see who was barking.,0,0,1,DessiesMama,True,True,2875043388,DessiesMama,,,,,
1196940670860218369,1196572928285929472,tweet,,True,False,19.11.2019 23:57:48,en,/docrocktex26/status/1196940670860218369,True,16582131,Propane Jane™,True, Also it says a lot about you and him that you consider widely expressed concerns about his ability to be a reliable ally and competent at the job he’s asking for as “silly arguments”. You’re doing him no favors.,1,0,1,barkley_al JasonOverstreet,True,True,2865907814,JasonOverstreet,,,,,
1196940361446367233,1196940361446367233,tweet,,False,False,19.11.2019 23:56:34,en,/co_rapunzel4/status/1196940361446367233,False,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, From the kitchen; Gym Jordan&#39;s voice sounds just like a yapping dog. #JimJordanIsAnIdiot,19,23,110,,False,True,,,,,,,
1196940285957345281,1196897267854258179,tweet,,True,False,19.11.2019 23:56:16,en,/Politics_PR/status/1196940285957345281,True,16711026,R. Saddler 📎🗽🌊🌊🌊,True, To get an airtight case. For reference the Watergate hearings opened on May 17; 1973; and the Committee issued its seven-volume; 1;250-page report on June 27; 1974. Also thanks to Potus they keep on adding articles of impeachment; like witness intimidation.,1,0,0,sir_mycroft Heritage HvonSpakovsky realDonaldTrump MickMulvaneyOMB,True,True,888031054141022209,MickMulvaneyOMB,,,,,
1196940117551853568,1196572928285929472,tweet,,True,False,19.11.2019 23:55:36,en,/docrocktex26/status/1196940117551853568,True,16582131,Propane Jane™,True, Yes; lack of experience. Mayor of a small town in Indiana isn’t enough experience IMHO; especially not when there are a handful of other candidates in the field who have more and aren’t alienating POC by pandering to folk who hate us and propping up racist killer cops.,5,2,7,barkley_al JasonOverstreet,True,True,2865907814,JasonOverstreet,,,,,
1196938882488639488,1196938550664548352,tweet,,True,False,19.11.2019 23:50:42,en,/co_rapunzel4/status/1196938882488639488,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Perfect; like his &quot;perfect call&quot;? I don&#39;t think that word means what they think it does.,1,1,6,AlisonAinswort9 Carolchapman192 Putzy2010 Eathbound420 DarinColville MulhollandLeda CindisPLace RubeBait ERNESTZorro Gallaecian Boatoptional2 american2084 Moezyboy Martamendoza718 adavaco mini_bubbly MephsM CoastieKate1 frankg07450 Mooncatadams mydoggyruss,True,True,539206290,mydoggyruss,,,,,
1196938633313476608,1196936246213390336,tweet,,True,False,19.11.2019 23:49:42,en,/co_rapunzel4/status/1196938633313476608,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Which understandably upset the military community!,1,1,1,denhamon,True,True,8725112,denhamon,,,,,
1196938040855298048,1196432917825802241,tweet,,True,False,19.11.2019 23:47:21,en,/co_rapunzel4/status/1196938040855298048,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Oh; but his was from alcohol!,0,0,5,CindisPLace AlisonAinswort9 cherokeesher2 MulhollandLeda TruthOnly37 CharismaMolotov Mooncatadams RestlessFacts Martamendoza718 RestlessNews Gallaecian DarinColville Carolchapman192 american2084 jfleech JustyceDuclos Putzy2010 Eathbound420 RubeBait ERNESTZorro Boatoptional2 Moezyboy adavaco mini_bubbly MephsM CoastieKate1 CitizensFedUp agavecorn,True,True,2272137097,agavecorn,,,,,
1196937979757023233,1196432917825802241,tweet,,True,False,19.11.2019 23:47:07,en,/co_rapunzel4/status/1196937979757023233,True,837561853,💙Rapunzel™ #ImpeachTrump🆘,True, Sorry to hear that. My uncle died of the same thing.,0,0,5,CindisPLace AlisonAinswort9 cherokeesher2 MulhollandLeda TruthOnly37 CharismaMolotov Mooncatadams RestlessFacts Martamendoza718 RestlessNews Gallaecian DarinColville Carolchapman192 american2084 jfleech JustyceDuclos Putzy2010 Eathbound420 RubeBait ERNESTZorro Boatoptional2 Moezyboy adavaco mini_bubbly MephsM CoastieKate1 CitizensFedUp agavecorn,True,True,2272137097,agavecorn,,,,,
