ID,ConvID,Context,Disclosure Type,Has Parent Tweet,Has Cards,Date,Language,Permalink,is part of conversation?,Author ID,Author Name,is Author verified,Text,Replies,Retweets,Favorites,Mentions,is Reply?,is Retweet?,Reply to User ID,Reply To User Name,Quoted Tweet ID, Quoted Tweet Conv. ID,Quoted Tweet Type,Quoted Tweets User ID,Quoted Tweet User
1109967757758480384,1109918388133023744,tweet,,True,False,24.03.2019 23:58:30,en,/AppSame/status/1109967757758480384,True,242618658,AppSame,True, It&#39;s time for @RepAdamSchiff to resign he spent the last 2 yrs lying he must go now,170,277,1432,realDonaldTrump RepAdamSchiff,True,True,29501253,RepAdamSchiff,,,,,
1109967539839348737,1109917433874120705,tweet,,True,False,24.03.2019 23:57:38,en,/Lrihendry/status/1109967539839348737,True,129235890,Lori Hendry,True, How did he investigate without investigating the real perpetrators; he concentrated on innocent people? Huge taxpayer waste.,5,41,93,christianllamar,True,True,4710708974,christianllamar,,,,,
1109967348834791424,1109966185909706752,tweet,,True,False,24.03.2019 23:56:52,en,/AppSame/status/1109967348834791424,True,242618658,AppSame,True, You must resign now you spent 2 years lying daily we are in your District and the people want you gone,3,25,95,RepAdamSchiff,True,True,29501253,RepAdamSchiff,,,,,
1109967052360409088,1109967052360409088,tweet,,False,False,24.03.2019 23:55:42,en,/CarmineZozzora/status/1109967052360409088,False,2167674121,AMERICA IS UNDER SIEGE! 🇺🇸,True, We have a globalist cabal’s criminal media propaganda complex subverting America beyond anything Joseph Goebbels could have imagined.#MAGA #Trump2020 https://twitter.com/TimNaples/status/1109966205287321600&nbsp;…,1,2,4,,False,True,,,1109966205287321600,1109861479358976000,tweet,898817882,TimNaples
1109966565133320193,1109966185909706752,tweet,,True,False,24.03.2019 23:53:45,en,/AppSame/status/1109966565133320193,True,242618658,AppSame,True, Resign Now Adam; you lied for over 2 yrs,72,61,639,RepAdamSchiff,True,True,29501253,RepAdamSchiff,,,,,
1109966315853213696,1109966315853213696,tweet,,False,False,24.03.2019 23:52:46,en,/CarmineZozzora/status/1109966315853213696,False,2167674121,AMERICA IS UNDER SIEGE! 🇺🇸,True, Now that their pornographic Trump/Russia hoax flatlined with all of its primary culprits fully exposed and their Mueller narrative all shot to hell; watch the left and criminal media complex start pulling 500 new women Trump accusers from the sky per week again.#MAGA #Trump2020https://twitter.com/BernieSanders/status/1109927464590032897&nbsp;…,1,3,6,,False,True,,,1109927464590032897,1109927464590032897,tweet,216776631,BernieSanders
1109965217901891584,1109918388133023744,tweet,,True,False,24.03.2019 23:48:24,en,/AppSame/status/1109965217901891584,True,242618658,AppSame,True, It&#39;s time for pardons @GenFlynn,10,39,168,realDonaldTrump GenFlynn,True,True,240454812,GenFlynn,,,,,
1109964800480575489,1109964800480575489,tweet,,False,False,24.03.2019 23:46:45,en,/CarmineZozzora/status/1109964800480575489,False,2167674121,AMERICA IS UNDER SIEGE! 🇺🇸,True, Look - another useful idiot escaped house plant who thinks Donald Trump speaks in code to America‘s 1200 or so neo-Nazis about his lifelong ambition and covert plan to have them takeover our country in their pickup trucks.Blocked.#MAGA #Trump2020 https://twitter.com/BanTorture/status/1109963697328279552&nbsp;…,1,0,1,,False,True,,,1109963697328279552,1109959661883547648,tweet,502639312,BanTorture
1109964515578445825,1109934286063525888,tweet,,True,False,24.03.2019 23:45:37,en,/TheRickWilson/status/1109964515578445825,True,19084896,Rick Wilson,True, Not in the slightest.,8,1,34,DFris1,True,True,871060093,DFris1,,,,,
1109963933102673920,1109963933102673920,tweet,,False,False,24.03.2019 23:43:18,en,/CarmineZozzora/status/1109963933102673920,False,2167674121,AMERICA IS UNDER SIEGE! 🇺🇸,True, When criminal news network CNN’s stable of undisguised fake news pimps and propagandists aren’t gang-slandering Trump as a white supremacist neo-Nazi fascist dictator Hitler villain KGB spy Putin puppet in the KKK; they’re attacking him for calling them fake news.#MAGA https://twitter.com/RNCResearch/status/987412587162882048&nbsp;…,0,7,8,,False,True,,,987412587162882048,987412587162882048,tweet,55329156,RNCResearch
